;Calories (kcal);Calories burned (kcal);Fat (g);Saturated (g);Polyunsaturated (g);Monounsaturated (g);Trans (g);Cholesterol (mg);Salt (g);Sodium (mg);Potassium (mg);Carbohydrate (g);Net carbs (g);Dietary fiber (g);Sugars (g);Sugar alcohols (g);Protein (g);Vitamin A (%);Vitamin C (%);Calcium (%);Iron (%);Magnesium (mg)
22/2/2022;2053;0;69;18;0;0;0;0;0;0;0;118;118;0;31;0;251;0;0;0;0;0
21/2/2022;2543;0;90;13;2;14;0;0;12;2;252;262;251;11;45;0;177;49;26;2;8;0
20/2/2022;2133;0;75;0;0;0;0;0;0;0;0;171;131;40;0;0;188;0;0;0;0;0
19/2/2022;1839;0;60;22;0;0;0;0;5;0;0;136;103;34;12;0;199;0;0;0;0;0
18/2/2022;2087;0;101;14;0;0;0;0;1;2020;420;158;149;9;10;0;140;82;44;4;14;0
17/2/2022;2033;0;68;16;0;0;0;0;3;0;0;137;101;36;21;0;214;0;0;0;0;0
16/2/2022;2002;0;60;16;0;0;0;0;0;0;0;147;147;0;23;0;226;0;0;0;0;0
15/2/2022;1989;0;93;6;0;0;0;0;0;0;0;166;166;0;0;0;124;0;0;0;0;0
14/2/2022;2025;0;95;40;0;0;0;0;5;19;1586;171;148;24;58;0;134;7;58;3;3;0
13/2/2022;1489;0;82;40;0;0;0;0;5;22;737;98;78;20;32;0;87;7;69;6;6;0
12/2/2022;1957;0;64;15;0;0;0;0;1;1894;225;202;187;15;16;0;148;7;11;3;3;0
11/2/2022;1963;0;80;25;0;0;0;0;7;2;210;99;99;1;32;0;224;41;22;2;7;0
10/2/2022;2053;0;78;10;0;0;0;0;2;1961;358;216;194;22;37;0;123;0;0;0;0;0
9/2/2022;1957;0;70;33;0;0;0;0;1;7126;358;149;134;15;59;0;187;0;0;0;0;0
8/2/2022;1992;0;106;42;0;0;0;0;0;2026;358;117;78;31;36;9;137;0;0;0;0;0
7/2/2022;1958;0;68;12;0;0;0;0;0;2;210;157;153;5;30;0;192;41;22;2;7;0
6/2/2022;1386;0;58;4;0;0;0;0;0;0;0;98;92;6;10;0;130;0;0;0;0;0
5/2/2022;609;0;20;2;6;42;0;0;0;115;0;51;51;0;55;0;56;0;0;0;0;0
4/2/2022;1623;0;46;7;0;0;0;0;0;53;1074;219;199;20;64;0;101;0;0;0;0;0
3/2/2022;1960;0;87;16;0;0;0;0;0;2;716;138;102;36;24;0;154;0;0;0;0;0
2/2/2022;2050;0;83;0;0;0;0;0;0;0;0;158;158;0;0;0;188;0;0;0;0;0
1/2/2022;1978;0;89;16;0;0;0;0;0;0;0;109;79;30;0;0;186;0;0;0;0;0
31/1/2022;2127;0;117;34;0;0;0;0;7;0;0;122;122;0;31;0;158;0;0;0;0;0
28/1/2022;1893;0;85;25;0;0;0;0;4;1;358;188;185;3;36;0;99;0;0;0;0;0
27/1/2022;1903;0;85;39;0;0;0;0;1;7125;0;115;115;23;46;0;184;0;0;0;0;0
26/1/2022;1943;0;64;4;0;0;0;0;0;1;880;202;177;25;67;0;139;12;255;9;0;0
25/1/2022;2007;0;78;1;0;0;0;0;1;1;358;164;150;14;36;0;159;0;0;0;0;0
24/1/2022;1763;0;93;0;0;0;0;0;0;1;706;110;103;7;31;0;118;8;170;6;0;0
23/1/2022;2023;0;122;35;0;0;0;0;5;0;522;129;116;13;29;0;100;12;255;9;0;0
22/1/2022;1899;0;93;34;0;0;0;0;4;1;358;132;99;33;20;0;129;0;0;0;0;0
21/1/2022;2195;0;95;16;0;0;0;0;0;3;1074;190;166;24;54;0;155;0;0;0;0;0
20/1/2022;1999;0;75;17;0;0;0;0;1;2;1238;170;136;34;71;0;169;12;255;9;0;0
19/1/2022;2024;0;97;27;0;0;0;0;1;2025;174;144;109;35;45;0;132;4;85;3;0;0
18/1/2022;2167;0;114;0;0;0;0;0;0;2;716;157;151;6;24;0;160;0;0;0;0;0
17/1/2022;2055;0;70;16;0;0;0;0;0;718;444;139;97;42;19;0;213;0;104;1;1;0
16/1/2022;1870;0;72;8;0;0;0;0;1;2191;615;137;104;34;36;0;167;0;311;3;3;0
15/1/2022;1974;0;94;12;0;0;0;0;1;32;0;146;143;3;27;0;138;0;0;0;0;0
14/1/2022;1904;0;83;12;0;0;0;0;4;2;716;131;97;34;28;0;179;0;0;0;0;0
13/1/2022;2074;0;104;15;0;0;0;0;0;0;0;119;112;7;8;0;171;0;0;0;0;0
12/1/2022;1999;0;78;1;0;0;0;0;1;1;358;138;102;36;24;0;187;0;0;0;0;0
11/1/2022;1501;0;74;21;0;0;0;0;5;0;0;77;52;26;0;0;140;0;0;0;0;0
10/1/2022;1976;0;90;16;0;0;0;0;0;0;0;117;87;30;7;0;172;0;0;0;0;0
9/1/2022;1919;0;58;6;0;0;0;0;2;0;0;176;155;21;29;0;179;0;0;0;0;0
8/1/2022;1953;0;89;16;0;0;0;0;0;0;522;122;86;36;27;0;167;12;255;9;0;0
7/1/2022;2007;0;103;28;0;0;0;0;2;0;348;118;84;34;34;0;148;8;170;6;0;0
6/1/2022;2012;0;78;35;0;0;0;0;8;0;348;137;108;30;34;0;208;8;170;6;0;0
5/1/2022;1977;0;53;19;0;0;0;0;0;2;1064;173;163;10;74;0;211;8;170;6;0;0
4/1/2022;1978;0;95;22;0;0;0;0;6;0;348;113;77;37;19;0;175;8;170;6;0;0
3/1/2022;1931;0;84;1;0;0;0;0;1;0;0;102;65;37;1;0;190;0;0;0;0;0
26/12/2021;1096;0;40;19;0;0;0;0;0;0;0;58;28;30;0;0;112;0;0;0;0;0
22/12/2021;1444;0;52;19;0;0;0;0;0;0;0;78;48;30;0;0;158;0;0;0;0;0
21/12/2021;1674;0;33;4;0;0;0;0;1;2;716;136;100;36;45;0;199;0;0;0;0;0
20/12/2021;1647;0;43;3;0;0;0;0;0;2;716;135;99;36;24;0;182;0;0;0;0;0
19/12/2021;1712;0;91;5;0;0;0;0;5;1;358;103;74;29;12;0;129;0;0;0;0;0
18/12/2021;1284;0;74;0;0;0;0;0;0;0;0;45;45;0;0;0;114;0;0;0;0;0
17/12/2021;1614;0;41;23;0;0;0;0;6;1;358;137;109;29;31;0;178;0;0;0;0;0
16/12/2021;1548;0;49;8;0;0;0;0;2;1;358;151;130;21;27;0;131;0;0;0;0;0
15/12/2021;1689;0;70;1;0;0;0;0;1;280;0;111;93;18;16;0;161;0;0;0;0;0
14/12/2021;1752;0;70;19;0;0;0;0;1;156;358;118;118;7;28;0;155;0;0;0;0;0
13/12/2021;1655;0;70;41;0;0;0;0;0;2181;0;142;120;23;23;0;160;0;0;0;0;0
12/12/2021;1434;0;87;18;0;0;0;0;0;111;1174;54;48;6;19;0;151;14;123;8;8;0
11/12/2021;1143;0;46;1;0;0;0;0;1;5;174;54;45;9;6;0;133;0;8;2;2;0
10/12/2021;1369;0;46;22;0;0;0;0;6;0;0;79;47;33;1;0;165;0;0;0;0;0
9/12/2021;1552;0;55;22;0;0;0;0;6;0;0;89;57;33;1;0;184;0;0;0;0;0
8/12/2021;1726;0;62;22;0;0;0;0;6;400;0;100;68;33;1;0;206;0;0;0;0;0
7/12/2021;1665;0;97;28;0;0;0;0;1;5;0;53;31;22;8;0;138;0;0;0;0;0
6/12/2021;1816;0;74;18;0;0;0;0;2;2;716;119;91;28;46;0;162;0;0;0;0;0
5/12/2021;1714;0;68;16;0;0;0;0;0;0;0;90;60;30;7;0;181;0;0;0;0;0
4/12/2021;1599;0;62;18;0;0;0;0;1;0;0;61;54;7;1;0;146;0;0;0;0;0
3/12/2021;1623;0;58;17;0;0;0;0;1;1;358;123;99;23;24;0;150;0;0;0;0;0
2/12/2021;1707;0;73;6;0;0;0;0;7;10;388;91;51;40;7;0;175;18;40;2;6;0
1/12/2021;1556;0;71;9;0;0;0;0;4;10;388;109;79;30;33;0;118;18;40;2;6;0
30/11/2021;1997;0;113;8;0;0;0;0;1;1;358;92;73;19;45;0;154;18;46;3;8;0
29/11/2021;1609;0;79;1;0;0;0;0;1;7;260;93;86;7;30;0;137;9;23;2;4;0
28/11/2021;1626;0;56;14;0;0;0;0;1;8;716;145;132;13;85;0;137;0;0;0;0;0
27/11/2021;1540;0;66;34;0;0;0;0;1;947;225;88;84;4;4;0;147;0;11;3;3;0
26/11/2021;1588;0;72;24;1;1;0;0;1;217;628;96;89;7;33;0;138;0;13;4;4;0
25/11/2021;1605;0;46;20;0;0;0;0;2;3;111;136;115;21;14;0;159;0;5;2;2;0
