Weight (kg),Body Fat (%),Date (YYYY-MM-DD)
"67.4",,"=""2022-03-05"""
"67.7",,"=""2022-03-01"""
"69.0",,"=""2022-02-28"""
"67.0",,"=""2022-02-24"""
"68.4",,"=""2022-02-23"""
"67.6",,"=""2022-02-19"""
"69.0",,"=""2022-02-18"""
"70.0",,"=""2022-02-16"""
"67.5",,"=""2022-02-10"""
"67.5",,"=""2022-02-07"""
"67.6",,"=""2022-02-04"""
"67.6",,"=""2022-01-31"""
"67.6",,"=""2022-01-30"""
"67.5",,"=""2022-01-26"""
"66.9",,"=""2022-01-22"""
"66.9",,"=""2022-01-20"""
"67.6",,"=""2022-01-17"""
"67.3",,"=""2022-01-16"""
"67.0",,"=""2022-01-14"""
"67.0",,"=""2022-01-08"""
"67.3",,"=""2022-01-07"""
"68.2",,"=""2022-01-05"""
"67.9",,"=""2022-01-05"""
"67.9",,"=""2022-01-04"""
"65.5",,"=""2021-12-22"""
"66.1",,"=""2021-12-19"""
"66.1",,"=""2021-12-18"""
"66.5",,"=""2021-12-16"""
"66.9",,"=""2021-12-15"""
"66.1",,"=""2021-12-14"""
"66.4",,"=""2021-12-11"""
"66.4",,"=""2021-12-08"""
"66.9",,"=""2021-12-06"""
"66.9",,"=""2021-12-04"""
"66.9",,"=""2021-12-03"""
"66.8",,"=""2021-12-01"""
"66.9",,"=""2021-11-29"""
"67.6",,"=""2021-11-27"""
"66.9",,"=""2021-11-26"""
"67.6",,"=""2021-11-24"""
"67.0",,"=""2021-11-22"""
"67.5",,"=""2021-11-20"""
"68.5",,"=""2021-11-19"""
"69.6",,"=""2021-11-18"""
"67.3",,"=""2021-11-15"""
"68.2",,"=""2021-11-13"""
"68.2",,"=""2021-11-12"""
"68.7",,"=""2021-11-11"""
"68.1",,"=""2021-11-06"""
"68.1",,"=""2021-11-01"""
"68.5",,"=""2021-10-31"""
"69.0",,"=""2021-10-29"""
"69.3",,"=""2021-10-27"""
"68.9",,"=""2021-10-21"""
"69.1",,"=""2021-10-13"""
"69.1",,"=""2021-10-12"""
"69.4",,"=""2021-10-10"""
"68.5","23.6","=""2021-10-06"""
"69.7",,"=""2021-10-04"""
"69.7",,"=""2021-09-30"""
"70.0",,"=""2021-09-29"""
"70.7",,"=""2021-09-28"""
"69.9",,"=""2021-09-22"""
"70.0",,"=""2021-09-21"""
"68.7",,"=""2021-09-18"""
"69.2",,"=""2021-09-16"""
"69.2",,"=""2021-09-15"""
"68.9",,"=""2021-09-11"""
"69.3",,"=""2021-09-10"""
"69.3",,"=""2021-09-08"""
"70.0",,"=""2021-09-06"""
"70.2",,"=""2021-09-03"""
"71.0",,"=""2021-09-02"""
"69.9",,"=""2021-08-31"""
"71.8",,"=""2021-08-30"""
"70.2",,"=""2021-08-26"""
"70.2",,"=""2021-08-25"""
"70.2",,"=""2021-08-24"""
"71.2",,"=""2021-08-22"""
"71.4",,"=""2021-08-20"""
"70.8",,"=""2021-08-19"""
"71.4",,"=""2021-08-18"""
"71.4",,"=""2021-08-17"""
"72.0",,"=""2021-08-17"""
"72.0",,"=""2021-08-16"""
"70.8",,"=""2021-08-15"""
"70.8",,"=""2021-08-14"""
"70.8",,"=""2021-08-13"""
"70.4",,"=""2021-08-12"""
"71.5",,"=""2021-08-12"""
"71.5",,"=""2021-08-11"""
"71.5",,"=""2021-08-10"""
"71.5",,"=""2021-08-09"""
"71.1",,"=""2021-08-08"""
"72.5",,"=""2021-08-05"""
"72.0",,"=""2021-08-03"""
"72.7",,"=""2021-08-02"""
"72.2",,"=""2021-08-01"""
"72.2",,"=""2021-07-30"""
"72.2",,"=""2021-07-29"""
"72.7",,"=""2021-07-29"""
"72.7",,"=""2021-07-28"""
"73.1",,"=""2021-07-27"""
"73.4",,"=""2021-07-25"""
"73.4",,"=""2021-07-25"""
"74.2",,"=""2021-07-24"""
"74.2",,"=""2021-07-22"""
"74.8",,"=""2021-07-19"""
"74.3",,"=""2021-07-08"""
"73.9",,"=""2021-06-29"""
"73.2",,"=""2021-06-25"""
"74.6",,"=""2021-06-19"""
"74.6",,"=""2021-06-16"""
"75.6",,"=""2021-06-07"""
"74.3",,"=""2021-05-18"""
"73.7",,"=""2021-05-14"""
"75.1",,"=""2021-05-10"""
"74.6",,"=""2021-05-06"""
"74.3",,"=""2021-04-29"""
"74.5",,"=""2021-04-27"""
"73.5",,"=""2021-04-24"""
"74.2",,"=""2021-04-18"""
"72.9",,"=""2021-04-15"""
"73.4",,"=""2021-04-13"""
"72.7",,"=""2021-04-08"""
"73.5",,"=""2021-04-07"""
"73.3",,"=""2021-04-01"""
"72.5",,"=""2021-03-25"""
"73.3",,"=""2021-03-17"""
"71.8",,"=""2021-03-14"""
"71.6",,"=""2021-03-12"""
"71.7",,"=""2021-03-12"""
"72.1",,"=""2021-03-10"""
"74.1",,"=""2021-03-07"""
"73.6",,"=""2021-03-04"""
"73.9",,"=""2021-03-03"""
"70.9",,"=""2021-02-26"""
"73.1",,"=""2021-02-24"""
"74.0",,"=""2021-02-20"""
"73.3",,"=""2021-02-13"""
"73.3",,"=""2021-02-06"""
"73.7",,"=""2021-02-06"""
"73.9",,"=""2021-01-30"""
"73.3",,"=""2021-01-26"""
"72.4",,"=""2021-01-11"""
"73.0",,"=""2021-01-08"""
"72.4",,"=""2021-01-07"""
"70.6",,"=""2021-01-03"""
"70.5",,"=""2020-12-30"""
"71.4",,"=""2020-12-29"""
"71.0",,"=""2020-12-28"""
"70.2",,"=""2020-12-26"""
"70.2",,"=""2020-12-23"""
"71.5",,"=""2020-12-21"""
"71.5",,"=""2020-12-20"""
"70.9",,"=""2020-12-17"""
"70.7",,"=""2020-12-13"""
"70.3",,"=""2020-12-12"""
"69.4",,"=""2020-12-10"""
"70.1",,"=""2020-12-09"""
"71.1",,"=""2020-12-08"""
"69.8",,"=""2020-12-07"""
"70.9",,"=""2020-12-06"""
"72.0",,"=""2020-12-02"""
"71.7",,"=""2020-12-01"""
"70.2",,"=""2020-11-27"""
"70.9",,"=""2020-11-26"""
"70.9",,"=""2020-11-22"""
"71.0",,"=""2020-11-15"""
"70.9",,"=""2020-11-14"""
"70.6",,"=""2020-11-11"""
"69.7",,"=""2020-11-11"""
"70.3",,"=""2020-11-09"""
"70.3",,"=""2020-11-08"""
"70.3",,"=""2020-11-06"""
"69.0",,"=""2020-11-03"""
"69.3",,"=""2020-10-31"""
"71.2",,"=""2020-10-30"""
"70.9",,"=""2020-10-28"""
"71.3",,"=""2020-10-27"""
"72.2",,"=""2020-10-24"""
"71.9",,"=""2020-10-23"""
"72.2",,"=""2020-10-22"""
"71.0",,"=""2020-10-18"""
"70.1",,"=""2020-10-17"""
"69.7",,"=""2020-10-16"""
"71.8",,"=""2020-10-12"""
"69.8",,"=""2020-10-09"""
"69.8",,"=""2020-10-08"""
"71.0",,"=""2020-10-07"""
"71.5",,"=""2020-10-03"""
"72.2",,"=""2020-10-03"""
"71.9",,"=""2020-09-30"""
"72.6",,"=""2020-09-29"""
"72.0",,"=""2020-09-28"""
"72.8",,"=""2020-09-27"""
"72.4",,"=""2020-09-22"""
"73.4",,"=""2020-09-14"""
"73.6",,"=""2020-09-08"""
"73.3",,"=""2020-09-07"""
"73.3",,"=""2020-09-06"""
